"Year","MIDAS","Lake..Town","Ice.In..init.","Ice.In..final.","Ice.Out","F.Name","L.Name","Cert..","Comments"
1930,70,"Wesserunsett Lake, Madison","","","04/16/1930","Fred","Hayden ","",""
1930,70,"Wesserunsett Lake, Madison","","","04/16/1930","Will","Reid","RE-0230",""
1931,70,"Wesserunsett Lake, Madison","","","04/12/1931","Will","Reid","RE-0230",""
1931,70,"Wesserunsett Lake, Madison","","","04/21/1931","Fred","Hayden ","",""
1932,70,"Wesserunsett Lake, Madison","","","04/22/1932","Fred","Hayden ","",""
1932,70,"Wesserunsett Lake, Madison","","","04/22/1932","Will","Reid","RE-0230",""
1933,70,"Wesserunsett Lake, Madison","","","04/25/1933","Fred","Hayden ","",""
1933,70,"Wesserunsett Lake, Madison","","","04/25/1933","Will","Reid","RE-0230",""
1934,70,"Wesserunsett Lake, Madison","","","04/29/1934","Fred","Hayden ","",""
1934,70,"Wesserunsett Lake, Madison","","","04/29/1934","Will","Reid","RE-0230",""
1935,70,"Wesserunsett Lake, Madison","","","04/28/1935","Fred","Hayden ","",""
1935,70,"Wesserunsett Lake, Madison","","","04/28/1935","Will","Reid","RE-0230",""
1936,70,"Wesserunsett Lake, Madison","","","04/13/1936","Fred","Hayden ","",""
1936,70,"Wesserunsett Lake, Madison","","","04/13/1936","Will","Reid","RE-0230",""
1938,70,"Wesserunsett Lake, Madison","","","04/21/1938","Fred","Hayden ","",""
1938,70,"Wesserunsett Lake, Madison","","","04/21/1938","Will","Reid","RE-0230",""
1939,70,"Wesserunsett Lake, Madison","","","05/08/1939","Fred","Hayden ","",""
1939,70,"Wesserunsett Lake, Madison","","","05/08/1939","Will","Reid","RE-0230",""
1941,70,"Wesserunsett Lake, Madison","","","04/16/1941","Fred","Hayden ","",""
1941,70,"Wesserunsett Lake, Madison","","","04/16/1941","Will","Reid","RE-0230",""
1942,70,"Wesserunsett Lake, Madison","","","04/27/1942","Fred","Hayden ","",""
1942,70,"Wesserunsett Lake, Madison","","","04/27/1942","Will","Reid","RE-0230",""
1943,70,"Wesserunsett Lake, Madison","","","04/20/1943","Fred","Hayden ","",""
1943,70,"Wesserunsett Lake, Madison","","","04/20/1943","Will","Reid","RE-0230",""
1944,70,"Wesserunsett Lake, Madison","","","04/09/1944","Fred","Hayden ","",""
1944,70,"Wesserunsett Lake, Madison","","","04/09/1944","Will","Reid","RE-0230",""
1945,70,"Wesserunsett Lake, Madison","","","04/14/1945","Fred","Hayden ","",""
1945,70,"Wesserunsett Lake, Madison","","","04/14/1945","Will","Reid","RE-0230",""
1946,70,"Wesserunsett Lake, Madison","","","04/23/1946","Fred","Hayden ","",""
1946,70,"Wesserunsett Lake, Madison","","","04/23/1946","Will","Reid","RE-0230",""
1947,70,"Wesserunsett Lake, Madison","","","04/14/1947","Fred","Hayden ","",""
1947,70,"Wesserunsett Lake, Madison","","","04/14/1947","Will","Reid","RE-0230",""
1948,70,"Wesserunsett Lake, Madison","","","04/12/1948","Fred","Hayden ","",""
1948,70,"Wesserunsett Lake, Madison","","","04/12/1948","Will","Reid","RE-0230",""
1949,70,"Wesserunsett Lake, Madison","","","04/27/1949","Fred","Hayden ","",""
1949,70,"Wesserunsett Lake, Madison","","","04/27/1949","Will","Reid","RE-0230",""
1950,70,"Wesserunsett Lake, Madison","","","04/13/1950","Fred","Hayden ","",""
1950,70,"Wesserunsett Lake, Madison","","","04/13/1950","Will","Reid","RE-0230",""
1951,70,"Wesserunsett Lake, Madison","","","04/22/1951","Fred","Hayden ","",""
1951,70,"Wesserunsett Lake, Madison","","","04/22/1951","Will","Reid","RE-0230",""
1952,70,"Wesserunsett Lake, Madison","","","04/10/1952","Fred","Hayden ","",""
1952,70,"Wesserunsett Lake, Madison","","","04/10/1952","Will","Reid","RE-0230",""
1953,70,"Wesserunsett Lake, Madison","","","04/10/1953","Fred","Hayden ","",""
1953,70,"Wesserunsett Lake, Madison","","","04/10/1953","Will","Reid","RE-0230",""
1955,70,"Wesserunsett Lake, Madison","","","04/22/1955","","Laney/Reid","",""
1955,70,"Wesserunsett Lake, Madison","","","04/22/1955","Will","Reid","RE-0230","Reid Data"
1955,70,"Wesserunsett Lake, Madison","","","04/25/1955","Fred","Hayden ","",""
1955,70,"Wesserunsett Lake, Madison","","","04/25/1955","Will","Reid","RE-0230","Hayden Data"
1956,70,"Wesserunsett Lake, Madison","","","04/30/1956","Fred ","Hayden ","",""
1956,70,"Wesserunsett Lake, Madison","","","04/30/1956","","Laney/Reid","",""
1956,70,"Wesserunsett Lake, Madison","","","04/30/1956","Will","Reid","RE-0230",""
1957,70,"Wesserunsett Lake, Madison","","","04/21/1957","Will","Reid","RE-0230",""
1958,70,"Wesserunsett Lake, Madison","","","04/21/1958","Fred","Hayden ","",""
1958,70,"Wesserunsett Lake, Madison","","","04/21/1958","Will","Reid","RE-0230",""
1959,70,"Wesserunsett Lake, Madison","","","04/25/1959","Fred","Hayden ","",""
1959,70,"Wesserunsett Lake, Madison","","","04/25/1959","Will","Reid","RE-0230",""
1960,70,"Wesserunsett Lake, Madison","","","04/25/1960","Fred","Hayden ","",""
1960,70,"Wesserunsett Lake, Madison","","","04/25/1960","Will","Reid","RE-0230",""
1961,70,"Wesserunsett Lake, Madison","","","05/02/1961","","Laney/Reid","",""
1961,70,"Wesserunsett Lake, Madison","","","05/02/1961","Will","Reid","RE-0230","Reid Data"
1961,70,"Wesserunsett Lake, Madison","","","05/03/1961","Fred","Hayden ","",""
1961,70,"Wesserunsett Lake, Madison","","","05/03/1961","Will","Reid","RE-0230","Hayden Data"
1962,70,"Wesserunsett Lake, Madison","","","04/23/1962","Fred","Hayden ","",""
1962,70,"Wesserunsett Lake, Madison","","","04/23/1962","Will","Reid","RE-0230","Hayden Data"
1962,70,"Wesserunsett Lake, Madison","","","04/24/1962","","Laney/Reid","",""
1962,70,"Wesserunsett Lake, Madison","","","04/24/1962","Will","Reid","RE-0230","Reid Data"
1963,70,"Wesserunsett Lake, Madison","","","04/22/1963","Fred","Hayden ","",""
1963,70,"Wesserunsett Lake, Madison","","","04/22/1963","","Laney/Reid","",""
1963,70,"Wesserunsett Lake, Madison","","","04/22/1963","Will","Reid","RE-0230",""
1964,70,"Wesserunsett Lake, Madison","","","04/27/1964","Fred","Hayden ","",""
1964,70,"Wesserunsett Lake, Madison","","","04/27/1964","Will","Reid","RE-0230",""
1965,70,"Wesserunsett Lake, Madison","","","04/30/1965","Fred","Hayden ","",""
1965,70,"Wesserunsett Lake, Madison","","","04/30/1965","Will","Reid","RE-0230",""
1966,70,"Wesserunsett Lake, Madison","","","04/25/1966","Fred","Hayden ","",""
1966,70,"Wesserunsett Lake, Madison","","","04/25/1966","Will","Reid","RE-0230",""
1967,70,"Wesserunsett Lake, Madison","","","04/28/1967","Fred","Hayden ","",""
