"Year","MIDAS","Lake..Town","Ice.In..init.","Ice.In..final.","Ice.Out","F.Name","L.Name","Cert..","Comments"
1985,12,"Porter Lake, Strong","","","04/26/1985","Jean","Ferrari","",""
1985,12,"Porter Lake, Strong","","","04/26/1985","Jean","Ferrari","",""
1986,12,"Porter Lake, Strong","","","04/17/1986","Jean","Ferrari","",""
1986,12,"Porter Lake, Strong","","","04/17/1986","Jean","Ferrari","",""
1987,12,"Porter Lake, Strong","","","04/13/1987","Jean","Ferrari","",""
1987,12,"Porter Lake, Strong","","12/03/1986","04/13/1987","Jean","Ferrari","",""
1988,12,"Porter Lake, Strong","","","04/21/1988","Jean","Ferrari","",""
1988,12,"Porter Lake, Strong","","12/07/1987","04/21/1988","Jean","Ferrari","",""
1989,12,"Porter Lake, Strong","","12/08/1988","05/01/1989","Jean","Ferrari","",""
1989,12,"Porter Lake, Strong","","12/29/1988","05/01/1989","Jean","Ferrari","",""
1990,12,"Porter Lake, Strong","","12/07/1989","04/27/1990","Jean","Ferrari","",""
1990,12,"Porter Lake, Strong","","12/13/1989","04/27/1990","Jean","Ferrari","",""
1991,12,"Porter Lake, Strong","","12/29/1990","04/23/1991","Jean","Ferrari","",""
1991,12,"Porter Lake, Strong","","12/10/1990","04/23/1991","Jean","Ferrari","",""
1992,12,"Porter Lake, Strong","","12/13/1991","04/29/1992","Jean","Ferrari","",""
1992,12,"Porter Lake, Strong","","12/16/1991","04/29/1992","Jean","Ferrari","",""
1993,12,"Porter Lake, Strong","","12/10/1992","04/30/1993","Jean","Ferrari","",""
1993,12,"Porter Lake, Strong","","12/12/1992","04/30/1993","Jean","Ferrari","",""
1994,12,"Porter Lake, Strong","","12/16/1993","05/02/1994","Jean","Ferrari","",""
1994,12,"Porter Lake, Strong","","12/01/1993","05/02/1994","Jean","Ferrari","",""
1995,12,"Porter Lake, Strong","","12/12/1994","04/21/1995","Jean","Ferrari","",""
1995,12,"Porter Lake, Strong","","12/23/1994","04/21/1995","Jean","Ferrari","",""
1996,12,"Porter Lake, Strong","","12/01/1995","04/23/1996","Jean","Ferrari","",""
1996,12,"Porter Lake, Strong","","12/09/1995","04/23/1996","Jean","Ferrari","",""
1997,12,"Porter Lake, Strong","","12/23/1996","04/28/1997","Jean","Ferrari","",""
1997,12,"Porter Lake, Strong","","12/24/1996","04/28/1997","Jean","Ferrari","",""
1998,12,"Porter Lake, Strong","","12/09/1997","04/16/1998","Jean","Ferrari","",""
1998,12,"Porter Lake, Strong","","12/24/1997","04/16/1998","Jean","Ferrari","",""
1999,12,"Porter Lake, Strong","","12/24/1998","04/18/1999","Jean","Ferrari","",""
1999,12,"Porter Lake, Strong","","12/21/1998","04/18/1999","Jean","Ferrari","",""
2000,12,"Porter Lake, Strong","","12/21/1999","04/11/2000","Jean","Ferrari","",""
2000,12,"Porter Lake, Strong","","12/09/1999","04/11/2000","Jean","Ferrari","",""
2001,12,"Porter Lake, Strong","","12/09/2000","05/05/2001","Jean","Ferrari","",""
2001,12,"Porter Lake, Strong","","12/28/2000","05/05/2001","Jean","Ferrari","",""
2002,12,"Porter Lake, Strong","","12/28/2001","04/14/2002","Jean","Ferrari","",""
2002,12,"Porter Lake, Strong","","12/06/2001","04/14/2002","Jean","Ferrari","",""
2003,12,"Porter Lake, Strong","","12/06/2002","04/27/2003","Jean","Ferrari","",""
2003,12,"Porter Lake, Strong","","12/05/2002","04/27/2003","Jean","Ferrari","",""
2004,12,"Porter Lake, Strong","","12/05/2003","04/21/2004","Jean","Ferrari","",""
2004,12,"Porter Lake, Strong","","12/17/2003","04/21/2004","Jean","Ferrari","",""
2005,12,"Porter Lake, Strong","","12/17/2004","04/21/2005","Jean","Ferrari","",""
2005,12,"Porter Lake, Strong","","12/10/2004","04/21/2005","Jean","Ferrari","",""
2006,12,"Porter Lake, Strong","","12/10/2005","04/06/2006","Jean","Ferrari","",""
2006,12,"Porter Lake, Strong","","01/10/2006","04/06/2006","Jean","Ferrari","",""
2007,12,"Porter Lake, Strong","","01/10/2007","05/03/2007","Jean","Ferrari","",""
2007,12,"Porter Lake, Strong","","12/04/2006","05/03/2007","Jean","Ferrari","",""
2008,12,"Porter Lake, Strong","12/04/2007","12/18/2007","04/28/2008","Jean","Ferrari","",""
2008,12,"Porter Lake, Strong","","12/07/2007","04/29/2008","Ann ","Wattles","WA-0449",""
2009,12,"Porter Lake, Strong","","","04/19/2009","","Maine Lake Charts Inc.","",""
2009,12,"Porter Lake, Strong","","12/24/2008","04/27/2009","Jean","Ferrari","",""
2010,12,"Porter Lake, Strong","","","04/04/2010","Jean","Ferrari","",""
2010,12,"Porter Lake, Strong","","12/18/2009","04/04/2010","Jean","Ferrari","",""
2011,12,"Porter Lake, Strong","","","04/29/2011","Jean ","Ferrari","",""
2011,12,"Porter Lake, Strong","","","04/29/2011","Jean","Ferrari","",""
2011,12,"Porter Lake, Strong","","","04/29/2011","Ann","Wattles","WA-0449",""
2012,12,"Porter Lake, Strong","","","03/25/2012","Ann","Wattles","WA-0449",""
