"Year","MIDAS","Lake..Town","Ice.In..init.","Ice.In..final.","Ice.Out","F.Name","L.Name","Cert..","Comments"
2005,5448,"China Lake, China","","","04/16/2005","","China Lake Association","",""
2006,5448,"China Lake, China","","","03/26/2006","","China Lake Association","",""
2006,5448,"China Lake, China","","","03/29/2006","","Maine Lake Charts Inc.","",""
2007,5448,"China Lake, China","","","04/23/2007","","China Lake Association","",""
2007,5448,"China Lake, China","","","04/25/2007","","Maine Lake Charts Inc.","",""
2008,5448,"China Lake, China","","","04/17/2008","","China Lake Association","",""
2008,5448,"China Lake, China","","","04/17/2008","","Maine Lake Charts Inc.","",""
2009,5448,"China Lake, China","","","04/11/2009","","China Lake Association","",""
2009,5448,"China Lake, China","","","04/13/2009","","Maine Lake Charts Inc.","",""
2010,5448,"China Lake, China","","","03/19/2010","","China Lake Association","",""
2010,5448,"China Lake, China","","","03/20/2010","James","Hart","HA-2112",""
2011,5448,"China Lake, China","","","04/17/2011","Al","Chamberlain","CH-0564",""
2011,5448,"China Lake, China","","","04/17/2011","","China Lake Association","",""
2012,5448,"China Lake, China","","","03/16/2012","Jim","Hart","HA-2112",""
2012,5448,"China Lake, China","","","03/16/2012","Dave","Landry","",""
2012,5448,"China Lake, China","","","03/21/2012","","China Lake Association","",""
2013,5448,"China Lake, China","","","04/07/2013","Julia","Daly","",""
2014,5448,"China Lake, China","","","04/23/2014","Julia","Daly","",""
2016,5448,"China Lake, China","","","03/16/2016","Jamey","Epstein","",""
2017,5448,"China Lake, China","","","04/18/2017","Matt","Zetterman","",""
2018,5448,"China Lake, China","","","04/24/2018","Matt","Zetterman","",""
